file,type,n,heuristic,cost,runtime_ms,min_edge_weight,max_edge_weight,mean_edge_weight,std_edge_weight,cv_edge_weight,edge_weight_skewness,pct_short_edges,triangle_violation_rate,avg_violation_magnitude,mst_weight,nn_cost_over_mst,optimal_cost,optimality_gap
rd400,EUC_2D,400,CH,17212.0,8401.0,0.00189081204904103,1353.0,528.8732957393484,250.55007023127453,0.4737430916813702,0.1586266590669312,0.1005764411027568,0.00064,0.00189081204904103,0.0644672368120539,1.4065845431881507,15281.0,12.63660755186179
rl1304,EUC_2D,1304,NN,335779.0,720.0,0.004450549262905158,21127.0,7190.123759940487,3670.9271761331865,0.5105513199349396,0.4508121892550148,0.100068741789829,0.00022,0.0001390796644657862,0.0237682240387545,1.5067556955606711,252948.0,32.74625614750858
rl1304,EUC_2D,1304,Greedy,285123.0,3066.0,0.004450549262905158,21127.0,7190.123759940487,3670.9271761331865,0.5105513199349396,0.4508121892550148,0.100068741789829,0.00022,0.0001390796644657862,0.0237682240387545,1.5067556955606711,252948.0,12.720005692869682
rl1304,EUC_2D,1304,Insertion,314424.0,457332.0,0.004450549262905158,21127.0,7190.123759940487,3670.9271761331865,0.5105513199349396,0.4508121892550148,0.100068741789829,0.00022,0.0001390796644657862,0.0237682240387545,1.5067556955606711,252948.0,24.30380947862802
rl1304,EUC_2D,1304,CH,277515.0,34346.0,0.004450549262905158,21127.0,7190.123759940487,3670.9271761331865,0.5105513199349396,0.4508121892550148,0.100068741789829,0.00022,0.0001390796644657862,0.0237682240387545,1.5067556955606711,252948.0,9.71227287822003
rl1323,EUC_2D,1323,NN,332103.0,737.0,0.006483353720838675,21073.0,7403.57569042073,3724.9752093267566,0.503131914237926,0.3376950455858161,0.100061406307354,0.00023,0.00013506986918413905,0.0245010412895123,1.3838432241880776,270199.0,22.91052150452074
rl1323,EUC_2D,1323,Greedy,307420.0,3352.0,0.006483353720838675,21073.0,7403.57569042073,3724.9752093267566,0.503131914237926,0.3376950455858161,0.100061406307354,0.00023,0.00013506986918413905,0.0245010412895123,1.3838432241880776,270199.0,13.775402573658674
rl1323,EUC_2D,1323,Insertion,342239.0,474691.0,0.006483353720838675,21073.0,7403.57569042073,3724.9752093267566,0.503131914237926,0.3376950455858161,0.100061406307354,0.00023,0.00013506986918413905,0.0245010412895123,1.3838432241880776,270199.0,26.66183072476212
rl1323,EUC_2D,1323,CH,297138.0,37597.0,0.006483353720838675,21073.0,7403.57569042073,3724.9752093267566,0.503131914237926,0.3376950455858161,0.100061406307354,0.00023,0.00013506986918413905,0.0245010412895123,1.3838432241880776,270199.0,9.97005910458588
rl1889,EUC_2D,1889,NN,389270.0,1918.0,0.004084342477769615,21089.0,7834.798422064405,4012.500821455797,0.5121383608486683,0.3797176886391118,0.1000282635418255,0.000195,0.00012763570243030047,0.0188018403242297,1.3989132700365836,316536.0,22.978113074026336
